Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
Connection established to IP: 127.0.0.1 ,  PORT: 10000
Connection established to IP: 127.0.0.1 ,  PORT: 10001
Connection established to IP: 127.0.0.1 ,  PORT: 10002
